question_code,RBC,RBC名前,environment,body_statement,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,answer,comment
105P068,13,体温調節,NULL,"体温に<span class=""bold"">影響しない</span>のはどれか．",１．運動,２．食事,３．ふるえ,４．不感蒸泄,５．精神性発汗,5,"<ex>○１　運動による骨格筋の熱産生や末梢への<span class=""bold"">血行増加</span>で，体温は上昇する．</ex><ex>○２　食事の摂取により，代謝が<span class=""bold"">亢進</span>し体温は上昇する．</ex><ex>○３　ふるえは，自律神経による強制的な<span class=""bold"">筋肉運動</span>である．これによる熱産生で体温は上昇する．</ex><ex>○４　皮膚からの蒸発や気道からの蒸発（呼吸時）により，無意識に水分が体外へ排泄されることを<span class=""bold"">不感蒸泄</span>という．水分が蒸発する際に体表から熱を奪うため，体温に影響がないとはいえない．</ex><ex>×５　精神性発汗とは，精神的緊張感や情動刺激に<span class=""bold"">自律神経</span>が反応して起こる発汗（いわゆる<span class=""bold"">冷や汗</span>）である．精神性発汗は，手のひらや足の裏を中心に起こり，滑り止めの効果があるが，体温調節の意味合いはない．</ex>"
111P015,13,体温調節,NULL,低体温から回復するための生体の反応はどれか．,１．発汗,２．ふるえ,３．乳酸の蓄積,４．体表面への血流増加,,2,"<ex>×１　高体温から回復するための反応である．エクリン汗腺から出た汗が皮膚表面で蒸発する際に生じる気化熱が，身体から熱を奪い体温を下げる．</ex><ex>○２　全身の骨格筋が不随意的に細かく収縮して熱を産生し，体温を<span class=""bold"">上げる</span>．</ex><ex>×３　低体温からの回復とは関連がない．乳酸の蓄積は，激しい運動をしたときの嫌気的解糖により生じる．体温低下時にはアドレナリンなどの分泌量が増加し，褐色脂肪組織で脂肪分解を促進して産熱量を増加させる．</ex><ex>×４　高体温から回復するための反応である．体表面への血流を増加させることで身体の熱を空気に伝導させて放散する（放熱）．低体温時の皮膚血管は収縮しており，体表面への血流を減少させることで放熱量を抑制している．</ex>"
112A077,13,体温調節,NULL,冷たい川に飛び込んだときに急激に体温が低下する原因で正しいのはどれか．,１．対流による体熱の放散,２．放射による体熱の放散,３．熱伝導による体熱の放散,４．代謝による熱エネルギー産生の低下,５．骨格筋における熱エネルギー産生の低下,3,"<ex>×１　<span class=""bold"">対流</span>は空気や水の流体が熱を受け取った際に移動することで順次周囲に熱を伝えてゆくメカニズムである．本問のように瞬時に全身が冷水に接触するような状態では水が移動する間もなく，すなわち対流が起きる間もなく，伝導によって熱が奪われると思われる．</ex><ex>×２　<span class=""bold"">放射</span>（輻射）は熱を伝える媒体を介さずに，熱が電磁波の状態で四方八方に伝わるメカニズムである．本問では主に水を介した熱の放散であり，適切ではない．</ex><ex>○３　<span class=""bold"">伝導</span>は主に固体を介して熱を伝えるメカニズムであるが，接触さえしていれば気体や液体でも生じる現象であり，その効率は物質によりさまざまである．水は空気と比較し約20倍の熱伝導率があり，全身が冷水に接触するような状態では瞬時に熱が伝導される．</ex><ex>×４　体温の低下は，<span class=""bold"">身体で産生される</span>熱よりも<span class=""bold"">外に放散される</span>熱のほうが多い場合に生じる．本問での場合，体温低下は身体で産生される熱が減少したことではなく水に熱を奪われたことが主因のため，適切ではない．</ex><ex>×５　体温の低下は，<span class=""bold"">身体で産生される</span>熱よりも<span class=""bold"">外に放散される</span>熱のほうが多い場合に生じる．本問での場合，体温低下は身体で産生される熱が減少したことではなく水に熱を奪われたことが主因のため，適切ではない．</ex>"
108P009,14,体液と浸透圧,NULL,成人の体重に占める体液の割合で最も高いのはどれか．,１．血漿,２．間質液,３．細胞内液,４．リンパ液,,3,"<ex>×１　成人では体重の約<span class=""bold red"">60</span>％は水分（体液）であり，そのうちの約2/3（体重の約<span class=""bold red"">40</span>％）は細胞内液で，約1/3（体重の約<span class=""bold red"">20</span>％）は細胞外液である．細胞外液の約1/4（体重の約<span class=""bold red"">5</span>％）が血漿で，約3/4（体重の約<span class=""bold red"">15</span>％）が間質液である．</ex><ex>×２　成人では体重の約<span class=""bold red"">60</span>％は水分（体液）であり，そのうちの約2/3（体重の約<span class=""bold red"">40</span>％）は細胞内液で，約1/3（体重の約<span class=""bold red"">20</span>％）は細胞外液である．細胞外液の約1/4（体重の約<span class=""bold red"">5</span>％）が血漿で，約3/4（体重の約<span class=""bold red"">15</span>％）が間質液である．</ex><ex>○３　成人では体重の約<span class=""bold red"">60</span>％は水分（体液）であり，そのうちの約2/3（体重の約<span class=""bold red"">40</span>％）は細胞内液で，約1/3（体重の約<span class=""bold red"">20</span>％）は細胞外液である．細胞外液の約1/4（体重の約<span class=""bold red"">5</span>％）が血漿で，約3/4（体重の約<span class=""bold red"">15</span>％）が間質液である．</ex><ex>×４　リンパ液も細胞外液であるが，量的にはわずかであり，血漿よりもはるかに少ない．</ex>"
106P017,14,体液と浸透圧,NULL,血漿と等張のブドウ糖溶液の濃度はどれか．,１．5％,２．10％,３．20％,４．50％,,1,"<ex>○１　血漿の浸透圧は約275〜295mOsm/Lで，これは<span class=""bold"">5</span>％のブドウ糖溶液に相当している．</ex><ex>×２　いずれも，血漿より浸透圧が高い高張の溶液である．静脈に入れる点滴などの溶液の浸透圧が血漿浸透圧の3倍を超えると，浸透圧差が大きくなり<span class=""bold"">静脈炎</span>を引き起こす危険がある．</ex><ex>×３　いずれも，血漿より浸透圧が高い高張の溶液である．静脈に入れる点滴などの溶液の浸透圧が血漿浸透圧の3倍を超えると，浸透圧差が大きくなり<span class=""bold"">静脈炎</span>を引き起こす危険がある．</ex><ex>×４　いずれも，血漿より浸透圧が高い高張の溶液である．静脈に入れる点滴などの溶液の浸透圧が血漿浸透圧の3倍を超えると，浸透圧差が大きくなり<span class=""bold"">静脈炎</span>を引き起こす危険がある．</ex>"
107P072,14,体液と浸透圧,NULL,血液中の濃度の変化が膠質浸透圧に影響を与えるのはどれか．,１．血小板,２．赤血球,３．アルブミン,４．グルコース,５．ナトリウムイオン,3,"<ex>×１　血小板は血液中の細胞成分であり，血液中に溶けているわけではないため，浸透圧には関与しない．</ex><ex>×２　赤血球は血液中に最も多い細胞成分であるが，血小板と同様に血液中に溶けているわけではないため，浸透圧には関与しない．</ex><ex>○３　膠質浸透圧は，アルブミン濃度の変化により強く影響される．<span class=""bold"">アルブミン</span>は血液中の主要な<span class=""bold"">タンパク質</span>であり，高分子なので血管壁を通過できない．<span class=""bold"">血液中の浸透圧の維持</span>，pHの調節，脂溶性分子の運搬など多くの役割を担っている．</ex><ex>×４　グルコースは血液中に溶けている分子であるが，血糖値は厳密に調節されており，浸透圧の変化にはほとんど関与しない．また，グルコースやアミノ酸は高分子ではなく血管壁を通過できるので，膠質ではない．</ex><ex>×５　ナトリウムイオンは血液中に溶けており，血漿浸透圧を決める主要な成分であるが，低分子なので血管壁を通過でき膠質ではない．</ex>"
108A079,14,体液と浸透圧,NULL,血漿の電解質組成を陽イオンと陰イオンに分けたグラフを示す．<br/><img1/><br/>矢印で示すのはどれか．,１．ナトリウムイオン,２．カリウムイオン,３．リン酸イオン,４．塩化物イオン,５．重炭酸イオン,5,"<ex>×１　ナトリウムイオン（Na<sup>＋</sup>）は<span class=""bold"">血漿中</span>では最も多い陽イオンであり，図の陽イオンのなかでは1番上である．</ex><ex>×２　カリウムイオン（K<sup>＋</sup>）は<span class=""bold"">細胞内液</span>では最も多い陽イオンであるが，血漿中ではNa<sup>＋</sup>よりはるかに少ない．図の陽イオンのなかでは上から2番目である．</ex><ex>×３　リン酸イオン（HPO<sub>4</sub><sup>2−</sup>）は<span class=""bold"">細胞内液</span>では最も多い陰イオンであるが，血漿中では硫酸イオン（SO<sub>4</sub><sup>2−</sup>）と同程度である．図の陰イオンのなかでは上から3番目である．</ex><ex>×４　塩化物イオン（Cl<sup>−</sup>）は<span class=""bold"">血漿中</span>では最も多い陰イオンであり，図の陰イオンのなかで最も大きい面積を占める．</ex><ex>○５　炭酸水素イオン（重炭酸イオン）（HCO<sub>3</sub><sup>−</sup>）は血漿中では<span class=""bold"">酸塩基平衡</span>に重要な陰イオンであるが，量的にはCl<sup>−</sup>よりは少なく，Cl<sup>−</sup>の<span class=""bold"">1</span>/<span class=""bold"">5</span>程度である．図の矢印部分は，陰イオンのなかで最も多いものの1/5程度なので，重炭酸イオンである．</ex>"
110P044,15,酸塩基平衡,NULL,Aさん（34歳，女性）は，気管支喘息で定期的に通院をしている．朝から喘息発作があり呼吸困難が生じたため，救急外来を受診した．<br/>経皮的動脈血酸素飽和度〈SpO<sub>2</sub>〉95％，動脈血液ガス分析（room air）で動脈血酸素分圧〈PaO<sub>2</sub>〉90Torr，動脈血二酸化炭素分圧〈PaCO<sub>2</sub>〉55Torr，pH 7.30，HCO<sub>3</sub><sup>−</sup> 25mEq/Lであった．<br/>Aさんの状態で考えられるのはどれか．,１．呼吸性アシドーシス,２．呼吸性アルカローシス,３．代謝性アシドーシス,４．代謝性アルカローシス,,1,"<ex>○１　呼吸困難のため二酸化炭素（CO<sub>2</sub>）の排出が低下して，動脈血二酸化炭素分圧［（PaCO<sub>2</sub>（基準値35～45mmHg＝Torr）］が上昇した結果，pH 7.30と体液は<span class=""bold"">酸性</span>に傾いている．HCO<sub>3</sub><sup>－</sup>［基準値24（22～26）mEq/L］は25mEq/Lとそれほど変化しておらず，PaCO<sub>2</sub>の急激な上昇に対して腎臓による代謝性の代償が十分に働いていない病態である．喘息発作による<span class=""bold"">呼吸性アシドーシス</span>の状態である．</ex><ex>×２　同上</ex><ex>×３　同上</ex><ex>×４　同上</ex>"
112A027,15,酸塩基平衡,NULL,健常な女子（15歳）が野外のコンサートで興奮し，頻呼吸を起こして倒れた．<br/>このときの女子の体内の状態で正しいのはどれか．,１．アルカローシスである．,２．ヘマトクリットは基準値よりも高い．,３．動脈血酸素飽和度〈SaO<sub>2</sub>〉は100%を超えている．,４．動脈血二酸化炭素分圧〈PaCO<sub>2</sub>〉は基準値よりも高い．,,1,"<ex>○１　コンサートで興奮し頻呼吸を起こして倒れたということから，呼吸数の増加に伴う<span class=""bold"">呼吸性アルカローシス</span>を起こしていると考えられる．</ex><ex>×２　ヘマトクリットが基準値よりも高い多血になるのは，<span class=""bold"">慢性的な低酸素状態</span>に陥ったときであり，急性の頻呼吸時には生じない．低酸素状態が持続することで<span class=""bold"">エリスロポエチン</span>の産生が亢進し，赤血球が増加する（二次性赤血球増加症）．</ex><ex>×３　<span class=""bold"">頻呼吸</span>になるとSaO<sub>2</sub>が多少上昇するが，SaO<sub>2</sub>は最高で100％であり，100％を超えることはない．</ex><ex>×４　換気量が<span class=""bold"">増加</span>するとPaCO<sub>2</sub>は低下するため，本症例でも低値となる．</ex>"
114P026,15,酸塩基平衡,NULL,血漿中の重炭酸イオン濃度が基準値よりも高くなるのはどれか．,１．過換気,２．腎不全,３．重篤な1型糖尿病,４．慢性的な換気障害,,4,<ex>×１　過換気では，過剰な換気によりCO<sub>2</sub>が過度に排出され，呼吸性アルカローシスが生じる．これに対して腎臓は，代償機構として重炭酸イオンを尿中に排泄するため，重炭酸イオンの血漿中濃度が低下する．</ex><ex>×２　腎不全では，腎機能の低下により水素イオンの排出が不十分となり，代謝性アシドーシスが生じる．重炭酸イオンは過剰な水素イオンの中和に消費されるため，重炭酸イオンの血中濃度が低下する．</ex><ex>×３　重篤な1型糖尿病では，インスリン不足により脂肪分解が亢進し，酸性のケトン体が大量に産生されケトアシドーシスが進行する．重炭酸イオンは過剰な酸の中和に消費されるため，重炭酸イオンの血漿中濃度が低下する．</ex><ex>○４　慢性的な換気障害では，CO<sub>2</sub>の排出が不十分となり，呼吸性アシドーシスが生じる．これに対し腎臓は，代償機構としてpHを保つために重炭酸イオンの再吸収を促進する．このため，血漿中の重炭酸イオン濃度は上昇する．</ex>
110A085,15,酸塩基平衡,NULL,血液のpH調節に関わっているのはどれか．<goth>2つ選べ</goth>．,１．胃,２．肺,３．心臓,４．腎臓,５．膵臓,"2,4",<ex>×１　胃では食物中のタンパク質を分解するペプシンを活性化するために胃酸（塩酸）が分泌されるが，胃酸は胃内腔へ分泌されるので血液のpH調節には関与していない．</ex><ex>○２　肺は呼気へCO<sub>2</sub>を排泄する臓器であり，血液のpH調節に深く関与している．CO<sub>2</sub>排出が亢進するとpHは上昇して呼吸性アルカローシス，逆にCO<sub>2</sub>が蓄積するとpHは低下して呼吸性アシドーシスとなる．</ex><ex>×３　心臓は血液を体内に循環させるポンプの役割を果たしているが，血液のpH調節には関与していない．</ex><ex>○４　腎臓は尿中へHCO<sub>3</sub><sup>−</sup>を排泄する臓器であり，血液のpH調節に深く関与している．腎臓の機能が低下すると代謝性アシドーシスとなる．</ex><ex>×５　膵臓から分泌される消化液にはさまざまな消化酵素とともに胃酸を中和するアルカリ性の重炭酸塩が含まれている．しかし，消化液は十二指腸内腔へ分泌されるので血液のpH調節には関与していない．</ex>
107A012,15,酸塩基平衡,NULL,頻回の嘔吐で生じやすいのはどれか．,１．血尿,２．低体温,３．体重増加,４．アルカローシス,,4,"<ex>×１　血尿とは血液が尿に混入している状態で，泌尿器系における結石，腫瘍，炎症などでみられる．頻回の嘔吐では，大量の胃液の喪失により体内の水分が減少して脱水状態となり，<span class=""bold"">乏尿</span>傾向となるが，血尿は通常みられない．</ex><ex>×２　低体温にはならない．たとえば嘔吐の原因が髄膜炎や急性腸炎などの炎症性疾患の場合，発熱がみられることがある．</ex><ex>×３　頻回の嘔吐では体内の水分が失われるので，そのぶん体重は<span class=""bold"">減少</span>する．</ex><ex>○４　pH1〜2の強酸である胃酸が失われるので，血中pHがアルカリ性に傾き，<span class=""bold"">代謝性アルカローシス</span>となる．</ex>"
107P039,16,サーカディアンリズムと睡眠,NULL,ノンレム睡眠中の状態で正しいのはどれか．,１．骨格筋が弛緩している．,２．夢をみていることが多い．,３．大脳皮質の活動が低下している．,４．組織の新陳代謝が低下している．,,3,"<ex>×１　<span class=""bold"">骨格筋</span>（抗重力筋）が<span class=""bold"">弛緩</span>するのは，身体の睡眠ともいわれるレム睡眠の特徴である．</ex><ex>×２　夢をみやすいのは，身体が休息しているが，脳はある程度活動しているレム睡眠である．</ex><ex>○３　ノンレム睡眠は脳の睡眠ともいわれ，<span class=""bold"">脳の活動は低下</span>している．</ex><ex>×４　組織の新陳代謝を促進する成長ホルモンは，脳が休息しているノンレム睡眠中に分泌が増加する．したがって，ノンレム睡眠では新陳代謝はむしろ促進される．一方，エネルギー消費はノンレム睡眠で抑制され，<span class=""bold"">体温が低下</span>する．</ex>"
109A035,16,サーカディアンリズムと睡眠,NULL,成人の睡眠で正しいのはどれか．,１．レム睡眠中は骨格筋が弛緩する．,２．入眠前の喫煙は睡眠導入時間を短くする．,３．ノンレム睡眠中はエネルギー代謝が亢進する．,４．睡眠周期は90分のレム睡眠と数分のノンレム睡眠を繰り返す．,,1,"<ex>○１　身体の睡眠ともいわれるレム睡眠では，骨格筋は<span class=""bold"">弛緩</span>する．</ex><ex>×２　たばこに含まれるニコチンにはカフェインと同様に<span class=""bold"">覚醒効果</span>があるので，入眠時間を遷延させる可能性がある．しかし，喫煙でリラックスすることが入眠誘導に効果的な場合もあり，状況や個人により喫煙の効果は異なる．</ex><ex>×３　ノンレム睡眠では，新陳代謝を促進する<span class=""bold"">成長ホルモン</span>の分泌が増加する．一方エネルギー代謝はノンレム睡眠では<span class=""bold"">抑制</span>され，体温が低下する．</ex><ex>×４　「レム睡眠＋ノンレム睡眠」で約<span class=""bold"">90</span>分周期であり，レム睡眠のほうが<span class=""bold"">短い</span>．通常の夜間睡眠の場合には，レム睡眠は，1回目は5～10分程度であるが，次第に延長し，明け方は30分程度となる．</ex>"
112A038,16,サーカディアンリズムと睡眠,NULL,成人のノンレム睡眠の特徴はどれか．,１．体温が上昇する．,２．急速な眼球運動がある．,３．加齢に伴い時間が長くなる．,４．睡眠周期の前半にみられる．,,4,"<ex>×１　ノンレム睡眠では成長ホルモンの分泌が増加し代謝が促進されるため，発汗が増える．また副交感神経優位となるため血管が拡張し，熱放散が増える．よって体温が低下する．</ex><ex>×２　急速な眼球運動はレム睡眠の特徴である．</ex><ex>×３　加齢とともにノンレム睡眠は減少し，中途覚醒や早朝覚醒が増加する．</ex><ex>○４　睡眠は深い<span class=""bold"">ノンレム睡眠</span>から始まるので，睡眠周期の前半を占めることになる．</ex>"
